Cases_CaseNumber,Products_ProductID,Products_Department,CaseTasks_Department
450252,DIGANALOG,IMPLANT PT,Tissue Trim
450252,DIGANALOG,IMPLANT PT,Scan Abutments
450252,DIGBRUXCRN,C&B,FIXED MODELS
450252,DIGANALOG,IMPLANT PT,STAINGLZ
450252,DIGBRUXCRN,C&B,Fixed QC
450252,DIGBRUXCRN,C&B,BUSOFF
450252,DIGBRUXCRN,C&B,IMPLANTS
450252,DIGBRUXCRN,C&B,C&B
450252,DIGBRUXCRN,C&B,Scan Abutments
450252,DIGBRUXCRN,C&B,CAD DESIGN
450252,DIGBRUXCRN,C&B,SINTER
450252,DIGBRUXCRN,C&B,FINISHING
450252,DIGBRUXCRN,C&B,STAINGLZ
450252,DIGBRUXCRN,C&B,Impl Eval/Set TA
450252,DIGBRUXCRN,C&B,Tissue Trim
450252,STRSR,IMPLANTS,CAD DESIGN
450252,STRSR,IMPLANTS,BUSOFF
450252,STRSR,IMPLANTS,FINISHING
450252,STRSR,IMPLANTS,C&B
450252,STRSR,IMPLANTS,Fixed QC
450252,STRSR,IMPLANTS,FIXED MODELS
450252,STRSR,IMPLANTS,Impl Eval/Set TA
450252,STRSR,IMPLANTS,IMPLANTS
450252,STRSR,IMPLANTS,SINTER
450252,STRSR,IMPLANTS,Scan Abutments
450252,STRSR,IMPLANTS,STAINGLZ
450252,STRSR,IMPLANTS,Tissue Trim
440701,DIGBRUXCRN,C&B,BUSOFF
440701,DIGBRUXCRN,C&B,CAD DESIGN
440701,DIGBRUXCRN,C&B,C&B
440701,DIGBRUXCRN,C&B,FIXED QC
440701,DIGBRUXCRN,C&B,SCHEDULING
440701,DIGBRUXCRN,C&B,SINTER
440701,DIGBRUXCRN,C&B,STAINGLZ
449991,DENFULEFIN,Removables,BUSOFF
449991,DENFULEFIN,Removables,REMQC
449991,DENFULEFIN,Removables,Removables
449991,DENFULEFIN,Removables,SCHEDULING
449991,DENTHREM5+,Removables,BUSOFF
449991,DENTHREM5+,Removables,REMQC
449991,DENTHREM5+,Removables,Removables
449991,DENTHREM5+,Removables,SCHEDULING
449991,INFCONT,MISC,REMQC
449991,INFCONT,MISC,BUSOFF
449991,INFCONT,MISC,SCHEDULING
449991,INFCONT,MISC,Removables
444142,ART-EVQC-CLSCN,MISC,BUSOFF
444142,ART-EVQC-CLSCN,MISC,Finish CRA
444142,ART-EVQC-CLSCN,MISC,Dup Model
444142,ART-EVQC-CLSCN,MISC,Process CRA
444142,ART-EVQC-CLSCN,MISC,PRINTING
444142,ART-EVQC-CLSCN,MISC,Removables
444142,ART-EVQC-CLSCN,MISC,Rem Model
444142,ART-EVQC-CLSCN,MISC,SCHEDULING
444142,CRA,SPLINTS,BUSOFF
444142,ART-EVQC-CLSCN,MISC,Splint QC
444142,CRA,SPLINTS,Dup Model
444142,ART-EVQC-CLSCN,MISC,Wax CRA
444142,CRA,SPLINTS,SCHEDULING
444142,CRA,SPLINTS,Finish CRA
444142,DIGMODCADREM,Removables,BUSOFF
444142,CRA,SPLINTS,PRINTING
444142,DIGMODCADREM,Removables,Dup Model
444142,CRA,SPLINTS,Process CRA
444142,DIGMODCADREM,Removables,PRINTING
444142,CRA,SPLINTS,Rem Model
444142,DIGMODCADREM,Removables,Process CRA
444142,CRA,SPLINTS,Removables
444142,DIGMODCADREM,Removables,SCHEDULING
444142,CRA,SPLINTS,Splint QC
444142,CRA,SPLINTS,Wax CRA
444142,DIGMODCADREM,Removables,Finish CRA
444142,DIGMODCADREM,Removables,Rem Model
444142,DIGMODCADREM,Removables,Removables
444142,DIGMODCADREM,Removables,Splint QC
444142,DIGMODCADREM,Removables,Wax CRA
449970,DIGEMAXMCRN,C&B,CAD DESIGN
449970,DIGEMAXMCRN,C&B,BUSOFF
449970,DIGEMAXMCRN,C&B,PORCELAIN
449970,DIGEMAXMCRN,C&B,C&B
449970,DIGEMAXMCRN,C&B,FIXED QC
449970,DIGEMAXMCRN,C&B,PRINTING
449970,DIGEMAXMCRN,C&B,SCHEDULING
450206,CRNBRUX,C&B,FIXED MODELS
450206,CRNBRUX,C&B,Brux Porcelain
450206,CRNBRUX,C&B,Invoice and Ship
450206,CRNBRUX,C&B,C&B
450206,CRNBRUX,C&B,Outsource Design full contour
450206,CRNBRUX,C&B,CAD Mill crown/coping
450206,CRNBRUX,C&B,Stain & Glaze
450206,CRNBRUX,C&B,Die Trim
450206,CRNBRUX,C&B,FIXED QC
450206,CRNBRUX,C&B,Scan for crowns
450206,CRNBRUX,C&B,SCHEDULING
450206,CRNBRUX,C&B,Sinter
449451,,,
444698,DIGDRCLCRN,C&B,BUSOFF
444698,DIGDRCLCRN,C&B,CTS
444698,DIGDRCLCRN,C&B,C&B
444698,DIGDRCLCRN,C&B,SCHEDULING
450380,DIGANALOG,IMPLANT PT,CAD DESIGN
450380,DIGANALOG,IMPLANT PT,BUSOFF
450380,DIGANALOG,IMPLANT PT,Fixed QC
450380,DIGANALOG,IMPLANT PT,C&B
450380,DIGANALOG,IMPLANT PT,Impl Eval/Set TA
450380,DIGANALOG,IMPLANT PT,Design abutment
450380,DIGANALOG,IMPLANT PT,Outsource Impl/Abutment
450380,DIGANALOG,IMPLANT PT,FIXED MODELS
450380,DIGANALOG,IMPLANT PT,SINTER
450380,DIGANALOG,IMPLANT PT,Impl. Abut. QC
450380,DIGANALOG,IMPLANT PT,STAINGLZ
450380,DIGANALOG,IMPLANT PT,Scan Abutments
450380,DIGBRUXCRN,C&B,Fixed QC
450380,DIGANALOG,IMPLANT PT,SCHEDULING
450380,DIGBRUXCRN,C&B,Impl Eval/Set TA
450380,DIGANALOG,IMPLANT PT,Tissue Trim
450380,DIGBRUXCRN,C&B,Outsource Impl/Abutment
450380,DIGBRUXCRN,C&B,BUSOFF
450380,DIGBRUXCRN,C&B,STAINGLZ
450380,DIGBRUXCRN,C&B,C&B
450380,DIGBRUXCRN,C&B,Tissue Trim
450380,DIGBRUXCRN,C&B,CAD DESIGN
450380,STRSMT,IMPLANTS,BUSOFF
450380,DIGBRUXCRN,C&B,Design abutment
450380,STRSMT,IMPLANTS,C&B
450380,DIGBRUXCRN,C&B,FIXED MODELS
450380,STRSMT,IMPLANTS,FIXED MODELS
450380,DIGBRUXCRN,C&B,Impl. Abut. QC
450380,STRSMT,IMPLANTS,Impl Eval/Set TA
450380,DIGBRUXCRN,C&B,Scan Abutments
450380,STRSMT,IMPLANTS,Impl. Abut. QC
450380,DIGBRUXCRN,C&B,SCHEDULING
450380,STRSMT,IMPLANTS,SCHEDULING
450380,DIGBRUXCRN,C&B,SINTER
450380,STRSMT,IMPLANTS,CAD DESIGN
450380,STRSMT,IMPLANTS,Design abutment
450380,STRSMT,IMPLANTS,Fixed QC
450380,STRSMT,IMPLANTS,Outsource Impl/Abutment
450380,STRSMT,IMPLANTS,Scan Abutments
450380,STRSMT,IMPLANTS,SINTER
